year,Johnson,Linn,State
2013,112.45,162.06,161.91
2012,104.18,155.71,160.16
2011,97.46,152.99,158.44
2010,94.39,147.91,154.5
2009,100.95,140.63,149.48
2008,93.6,132.72,141.38
2007,86.35,126.74,133.34
