year,Iowa,we,I,together,today,new,us,jobs,students,future,schools,opportunity,economy,education,better,children,government,community,health,public
2017,49,40,36,4,9,14,4,5,11,11,10,8,12,13,6,2,9,16,13,7
2016,55,50,20,5,11,4,15,9,5,12,19,6,8,11,3,4,6,5,1,9
2015,63,60,22,42,8,4,6,11,18,5,18,9,3,7,8,6,14,16,0,7
2014,85,65,26,13,13,11,9,16,20,3,13,12,12,11,10,8,3,17,16,2
2013,63,44,29,6,10,18,7,13,12,5,15,25,13,18,8,12,4,3,9,1
2012,53,36,27,11,11,17,10,27,6,7,16,13,16,18,3,16,1,6,3,1
