year_month,permit_unadjusted,permit_adjusted,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2004-06,2621,4115.802258,19,1781,,1,9,0,2,,2,125,,,,,,,,,,,,,4560
2004-07,2742,4325.726371,26,1767,,4,8,0,2,,3,136,,,,,,,,,,,,,4688
2004-08,2921,4210.503973,18,2875,,6,13,0,1,,1,145,,,,,,,,,,,,,5980
2004-09,3756,4276.375523,30,3944,,3,8,0,0,,3,181,,,,,,,,,,,,,7925
2004-10,4514,4551.203017,24,6047,,8,0,0,0,,2,228,,,,,,,,,,,,,10823
2004-11,4146,4079.93965,23,6952,,2,0,0,3,,3,207,,,,,,,,,,,,,11336
2004-12,6662,4186.904186,28,7734,,5,0,0,3,,2,139,,,,,,,,,,,,,14573
2005-01,6519,4478.023509,32,2898,,2,0,0,0,,9,161,,,,,,,,,,,,,9621
2005-02,5420,4590.128885,20,3303,,4,0,0,0,,5,193,,,,,,,,,,,,,8945
2005-03,5840,4279.527973,31,3917,,3,0,0,0,,2,152,,,,,,,,,,,,,9945
2005-04,3892,4298.894386,20,2701,,2,0,0,1,,3,115,,,,,,,,,,,,,6734
2005-05,3304,4407.72602,20,1761,,2,0,0,1,,3,101,,,,,,,,,,,,,5192
2005-06,2849,4379.507053,16,1694,,3,0,0,0,,3,124,,,,,,,,,,,,,4689
2005-07,2621,4363.846373,18,1715,,3,0,0,0,,3,99,,,,,,,,,,,,,4459
2005-08,3130,4255.059009,21,2554,,3,1,0,0,,6,116,,,,,,,,,,,,,5831
2005-09,3582,4136.641543,29,3747,,1,0,0,1,,2,148,,,,,,,,,,,,,7510
2005-10,4167,4248.460072,24,5758,,0,0,0,0,,2,161,,,,,,,,,,,,,10112
2005-11,4399,4338.612207,26,7684,,5,0,0,0,,7,159,,,,,,,,,,,,,12280
2005-12,6753,4567.244115,39,8110,,5,0,0,0,,2,117,,,,,,,,,,,,,15026
2006-01,6719,4430.945562,34,3297,,2,0,0,0,,4,111,,,,,,,,,,,,,10167
