year_month,permit_unadjusted,permit_adjusted,long_gun_adjusted,handgun,long_gun
2013-08,5715,7303,3286,223,2519
2013-09,7423,10091,3336,153,3166
2013-10,7659,8003,3018,212,3696
2013-11,6490,7640,3082,196,5246
2013-12,6619,6561,2901,217,5671
2014-01,10269,7063,2954,214,2413
2014-02,9818,6770,2852,206,2939
2014-03,9748,7346,3014,237,3580
2014-04,7746,7133,2999,183,2379
2014-05,6278,7350,2934,120,1659
2014-06,6704,10191,2985,146,1614
2014-07,5737,7475,3013,119,1606
2014-08,5476,7431,2873,117,2205
2014-09,5545,7076,2861,178,2660
2014-10,6822,7306,3003,176,3667
2014-11,5596,6822,2945,174,5018
2014-12,8371,7760,2917,260,5574
2015-01,9736,7236,2981,197,2486
2015-02,13054,8612,2939,268,2984
2015-03,11320,7950,2796,295,3211
2015-04,8656,7968,2838,211,2163
2015-05,5573,7243,2937,167,1781
2015-06,5452,7935,2886,184,1634
2015-07,6577,8484,2848,120,1563
2015-08,6064,8292,2854,170,2288
2015-09,7036,8894,2747,191,2514
2015-10,7078,8249,2684,172,3318
2015-11,8785,9780,2626,267,4596
