area,pop,pop_17_under,pop_18_34,pop_35_54,pop_55_64,pop_65_older,median_age,median_household_income
Rural,1417892,23.3,19.3,25.7,13.4,18.3,42.4,48496
Urban,1644661,24,25.8,26.1,11.8,12.4,36.6,55011.6
