year_month,permit_unadjusted,permit_adjusted,state,year,month,month.num,population,guns_per_thousand,guns_sold,multiplier,instore_purchases,handgun,longgun,other,multiple,multiple_corrected,admin,prepawn_handgun,prepawn_longgun,prepawn_other,redemption_handgun,redemption_longgun,redemption_other,returned_handgun,returned_longgun,returned_other,rental_handgun,rental_longgun,private_handgun,private_longgun,private_other,privatereturn_handgun,privatereturn_longgun,privatereturn_other,totals
2010-01,7530,5989.719588,Iowa,2010,January,01,3074186,0.999028686,3070,1.1,2792,36,2748,16,4,4,1,0,3,0,0,91,0,,,,,,,,,,,,10429
1998-12,7521,4397.742103,Iowa,1998,December,12,3074186,2.379491677,7314,1.1,6650,64,6572,,7,7,4,,,,,,,,,,,,,,,,,,14168
2009-04,7503,6968.771902,Iowa,2009,April,04,3074186,1.143587278,3510,1.1,3196,43,3095,,29,29,0,0,0,,2,92,,,,,,,,,,,,,10764
2013-05,7502,7954.941657,Iowa,2013,May,05,3074186,0.752134061,2311,1.1,2102,78,2016,15,4,4,0,0,0,0,0,93,0,,,,,,,,,,,,9708
2009-02,7450,6411.189413,Iowa,2009,February,02,3074186,1.286356779,3952,1.1,3595,39,3526,,15,15,0,0,5,,4,160,,,,,,,,,,,,,11199
2013-09,7423,10090.77766,Iowa,2013,September,09,3074186,1.191892748,3663,1.1,3331,153,3166,20,6,6,0,0,1,0,2,102,0,,,,,,0,0,0,,0,0,10873
2012-05,7411,7742.969148,Iowa,2012,May,05,3074186,0.713489685,2193,1.1,1994,72,1916,21,3,3,0,0,0,0,2,80,0,,,,,,,,,,,,9505
2011-08,7350,9148.363162,Iowa,2011,August,08,3074186,0.966825039,2972,1.1,2702,69,2629,11,2,2,0,0,1,0,1,130,0,,,,,,,,,,,,10193
2011-10,7331,8483.272757,Iowa,2011,October,10,3074186,1.537545223,4726,1.1,4297,99,4192,15,3,3,0,0,2,0,0,142,0,,,,,,,,,,,,11784
2008-01,7250,4808.038135,Iowa,2008,January,01,3074186,1.080969076,3322,1.1,3021,27,2986,,4,4,0,0,1,,4,114,,,,,,,,,,,,,10386
2010-02,7164,5985.482181,Iowa,2010,February,02,3074186,1.19153493,3662,1.1,3330,61,3259,20,5,5,0,0,4,0,2,158,0,,,,,,,,,,,,10673
2011-06,7161,9669.68653,Iowa,2011,June,06,3074186,0.662679487,2037,1.1,1852,43,1803,8,3,3,0,0,0,0,3,113,0,,,,,,,,,,,,9134
2012-10,7158,7466.328003,Iowa,2012,October,10,3074186,1.676736541,5153,1.1,4686,128,4538,33,10,10,0,0,2,0,4,139,0,,,,,,,,,,,,12012
2010-04,7121,6680.35644,Iowa,2010,April,04,3074186,0.890609742,2737,1.1,2489,37,2442,13,5,5,0,0,2,0,2,98,0,,,,,,,,,,,,9720
2015-10,7078,8249.2911,Iowa,2015,October,10,11,349727.2727,3847,1.1,3520,172,3318,26,4,4,17,0,0,0,2,104,0,3,1,0,,,0,0,0,0,0,0,10725
2007-01,7045,4513.113562,Iowa,2007,January,01,3074186,1.11174145,3417,1.1,3107,13,3088,,3,3,0,0,1,,3,129,,,,,,,,,,,,,10282
2015-09,7036,8893.629148,Iowa,2015,September,09,3074186,0.971476677,2986,1.1,2715,191,2514,23,5,5,13,0,1,0,3,68,0,5,3,2,,,0,1,0,0,0,0,9865
2003-12,7033,4369.877642,Iowa,2003,December,12,3074186,2.790982719,8579,1.1,7800,34,7760,,3,3,14,0,3,,1,155,,,,,,,,,,,,,15003
2010-11,6884,7383.053952,Iowa,2010,November,11,3074186,2.23600654,6873,1.1,6249,40,6199,10,5,5,0,0,0,0,1,134,0,,,,,,,,,,,,13273
2012-08,6876,8333.452244,Iowa,2012,August,08,3074186,1.036957426,3187,1.1,2898,82,2810,14,3,3,0,0,0,0,2,130,0,,,,,,,,,,,,9917
2011-09,6848,8671.066228,Iowa,2011,September,09,3074186,1.247354584,3834,1.1,3486,88,3390,11,4,4,0,0,3,0,2,168,0,,,,,,,,,,,,10514
2003-01,6834,4175.962881,Iowa,2003,January,01,3074186,0.875581373,2691,1.1,2447,18,2417,,6,6,17,0,0,,3,174,,,,,,,,,,,,,9469
2014-10,6822,7306.100729,Iowa,2014,October,10,3074186,1.377242626,4233,1.1,3849,176,3667,22,3,3,0,0,0,0,0,105,0,,,,,,0,0,0,0,0,0,10795
2005-12,6753,4567.244115,Iowa,2005,December,12,3074186,2.919439487,8974,1.1,8159,39,8110,,5,5,0,0,0,,2,117,,,,,,,,,,,,,15026
2006-01,6719,4430.945562,Iowa,2006,January,01,3074186,1.193324021,3668,1.1,3335,34,3297,,2,2,0,0,0,,4,111,,,,,,,,,,,,,10167
2014-06,6704,10190.66333,Iowa,2014,June,06,3074186,0.63262275,1944,1.1,1768,146,1614,18,4,4,0,0,0,0,0,83,0,0,,,,,0,0,0,0,0,,8569
2009-10,6675,6872.180521,Iowa,2009,October,10,3074186,1.696416547,5214,1.1,4741,33,4700,14,4,4,0,0,6,,3,172,,,,,,,,,,,,,11607
2004-12,6662,4186.904186,Iowa,2004,December,12,3074186,2.780963806,8548,1.1,7772,28,7734,,5,5,0,0,3,,2,139,,,,,,,,,,,,,14573
2013-12,6619,6560.863231,Iowa,2013,December,12,3074186,2.111127954,6489,1.1,5900,217,5671,17,6,6,0,0,1,0,2,105,0,,,,,,0,0,0,,0,,12638
2015-07,6577,8484.147689,Iowa,2015,July,07,3074186,0.604355104,1857,1.1,1689,120,1563,22,3,3,0,0,1,0,2,67,1,0,0,0,,,0,0,0,0,0,0,8356
2010-10,6529,7334.432562,Iowa,2010,October,10,3074186,1.554004865,4776,1.1,4343,42,4289,8,6,6,0,0,0,1,3,151,0,,,,,,,,,,,,11029
2005-01,6519,4478.023509,Iowa,2005,January,01,3074186,1.049838884,3227,1.1,2934,32,2898,,2,2,0,0,0,,9,161,,,,,,,,,,,,,9621
2013-11,6490,7639.864365,Iowa,2013,November,11,3074186,1.95440354,6006,1.1,5462,196,5246,22,10,10,0,0,0,0,2,109,1,,,,,,0,0,0,,0,0,12076
2004-01,6460,4169.579845,Iowa,2004,January,01,3074186,1.04017779,3197,1.1,2907,27,2872,,4,4,2,0,3,,5,169,,,,,,,,,,,,,9542
2013-06,6450,10258.61959,Iowa,2013,June,06,3074186,0.641568207,1972,1.1,1793,74,1713,11,3,3,0,1,0,0,1,83,0,,,,,0,,,,,,,8336
2002-12,6418,4254.86081,Iowa,2002,December,12,3074186,2.36839931,7281,1.1,6619,29,6586,,2,2,9,0,0,,2,172,,,,,,,,,,,,,13218
2002-01,6416,3928.459667,Iowa,2002,January,01,3074186,0.857690459,2636,1.1,2397,24,2367,,3,3,10,0,2,,8,170,,,,,,,,,,,,,9000
2012-07,6372,8868.495449,Iowa,2012,July,07,3074186,0.756070062,2324,1.1,2113,73,2036,16,2,2,0,0,1,0,2,94,0,,,,,,,,,,,,8596
2014-05,6278,7350.466535,Iowa,2014,May,05,3074186,0.64085257,1969,1.1,1791,120,1659,19,6,6,0,0,0,0,1,82,0,,,,,,0,0,0,0,0,,8165
2006-12,6273,4644.516364,Iowa,2006,December,12,3074186,2.76557762,8502,1.1,7729,34,7691,,2,2,0,0,1,,3,112,,,,,,,,,,,,,14116
1999-12,6271,3815.909274,Iowa,1999,December,12,3074186,2.782752898,8554,1.1,7777,50,7721,,3,3,10,,,,,,,,,,,,,,,,,,14055
2008-03,6271,5029.357273,Iowa,2008,March,03,3074186,1.498185211,4605,1.1,4187,38,4141,,4,4,0,0,0,,1,114,,,,,,,,,,,,,10569
2007-12,6234,4873.342431,Iowa,2007,December,12,3074186,2.290037103,7039,1.1,6400,23,6371,,3,3,0,0,2,,3,86,,,,,,,,,,,,,12722
2001-01,6161,3735.988996,Iowa,2001,January,01,3074186,0.921024297,2831,1.1,2574,45,2523,,3,3,15,,,,,,,,,,,,,,,,,,8747
2008-11,6159,6846.746279,Iowa,2008,November,11,3074186,2.47753389,7611,1.1,6924,41,6829,,27,27,0,0,2,,1,129,,,,,,,,,,,,,13188
2010-09,6080,7571.298693,Iowa,2010,September,09,3074186,1.201196024,3692,1.1,3357,35,3312,11,5,5,0,0,1,0,3,141,0,,,,,,,,,,,,9588
2015-08,6064,8292.193306,Iowa,2015,August,08,3074186,0.881664285,2710,1.1,2464,170,2288,14,3,3,0,0,0,0,0,53,0,0,0,0,,,0,0,0,0,0,0,8592
2006-03,6033,4421.964643,Iowa,2006,March,03,3074186,1.517865217,4666,1.1,4242,34,4204,,2,2,0,0,0,,2,116,,,,,,,,,,,,,10391
2000-01,5989,4057.81904,Iowa,2000,January,01,3074186,0.933547938,2870,1.1,2609,42,2563,,2,2,23,,,,,,,,,,,,,,,,,,8619
2008-10,5944,5680.752741,Iowa,2008,October,10,3074186,1.768695843,5436,1.1,4943,23,4906,,7,7,0,0,3,,1,163,,,,,,,,,,,,,11047
