year_month,permit_unadjusted,permit_adjusted,state,year,month,month.num,population,guns_per_thousand,guns_sold,multiplier,instore_purchases,handgun,longgun,other,multiple,multiple_corrected,admin,prepawn_handgun,prepawn_longgun,prepawn_other,redemption_handgun,redemption_longgun,redemption_other,returned_handgun,returned_longgun,returned_other,rental_handgun,rental_longgun,private_handgun,private_longgun,private_other,privatereturn_handgun,privatereturn_longgun,privatereturn_other,totals
1999-04,3687,3906.809457,Iowa,1999,April,04,3074186,0.835863542,2569,1.1,2336,70,2258,,4,4,10,,,,,,,,,,,,,,,,,,6029
2003-09,3671,4101.387769,Iowa,2003,September,09,3074186,1.396564814,4293,1.1,3903,17,3882,,2,2,2,0,2,,4,155,,,,,,,,,,,,,7735
2007-09,3659,4819.890091,Iowa,2007,September,09,3074186,1.325001155,4073,1.1,3703,14,3685,,2,2,0,0,0,,4,152,,,,,,,,,,,,,7516
2002-09,3649,4241.710684,Iowa,2002,September,09,3074186,1.285283324,3950,1.1,3592,18,3558,,8,8,7,0,1,,6,180,,,,,,,,,,,,,7427
2006-04,3638,4142.621821,Iowa,2006,April,04,3074186,1.042682518,3205,1.1,2914,15,2899,,0,0,0,0,0,,2,100,,,,,,,,,,,,,6654
2008-07,3616,5239.170392,Iowa,2008,July,07,3074186,0.623677292,1917,1.1,1743,32,1703,,4,4,0,0,1,,1,80,,,,,,,,,,,,,5437
2005-09,3582,4136.641543,Iowa,2005,September,09,3074186,1.351837527,4156,1.1,3778,29,3747,,1,1,0,0,1,,2,148,,,,,,,,,,,,,7510
2007-05,3568,4306.695957,Iowa,2007,May,05,3074186,0.567857638,1745,1.1,1587,18,1563,,3,3,0,0,2,,2,82,,,,,,,,,,,,,5238
2008-08,3547,5321.904249,Iowa,2008,August,08,3074186,0.942851213,2898,1.1,2635,23,2610,,1,1,0,0,0,,1,100,,,,,,,,,,,,,6282
2001-09,3536,4346.117521,Iowa,2001,September,09,3074186,1.642385985,5049,1.1,4590,38,4548,,2,2,15,,,,,,,,,,,,,,,,,,8139
2007-08,3468,4646.254624,Iowa,2007,August,08,3074186,1.017277419,3127,1.1,2843,19,2822,,1,1,0,0,0,,5,126,,,,,,,,,,,,,6441
2006-05,3434,4261.759178,Iowa,2006,May,05,3074186,0.639779116,1967,1.1,1788,19,1769,,0,0,4,0,0,,4,109,,0,0,,,,,,,,,,5339
1999-11,3421,3386.95025,Iowa,1999,November,11,3074186,2.703675054,8311,1.1,7556,41,7507,,4,4,11,,,,,,,,,,,,,,,,,,10984
2008-06,3341,5077.26813,Iowa,2008,June,06,3074186,0.601850376,1850,1.1,1682,17,1663,,1,1,0,0,1,,2,78,,,,,,,,,,,,,5103
2001-04,3328,3749.803609,Iowa,2001,April,04,3074186,0.836579179,2571,1.1,2338,28,2306,,2,2,12,,,,,,,,,,,,,,,,,,5676
2005-05,3304,4407.72602,Iowa,2005,May,05,3074186,0.638705661,1963,1.1,1785,20,1761,,2,2,0,0,1,,3,101,,,,,,,,,,,,,5192
2006-08,3295,4443.775769,Iowa,2006,August,08,3074186,0.936052666,2877,1.1,2616,13,2599,,2,2,0,0,2,,6,103,,0,0,,,,,,,,,,6020
1999-09,3287,3737.332526,Iowa,1999,September,09,3074186,1.75688784,5400,1.1,4910,59,4845,,3,3,30,,,,,,,,,,,,,,,,,,8224
2000-04,3205,3812.946996,Iowa,2000,April,04,3074186,0.817972628,2514,1.1,2286,34,2250,,1,1,11,,,,,,,,,,,,,,,,,,5501
2005-08,3130,4255.059009,Iowa,2005,August,08,3074186,0.923529025,2839,1.1,2581,21,2554,,3,3,1,0,0,,6,116,,,,,,,,,,,,,5831
2002-05,3114,4136.985172,Iowa,2002,May,05,3074186,0.494504887,1520,1.1,1382,13,1369,,0,0,24,0,3,,2,117,,,,,,,,,,,,,4642
2002-08,3022,4329.708633,Iowa,2002,August,08,3074186,0.848387183,2607,1.1,2371,12,2351,,4,4,12,0,2,,7,148,,,,,,,,,,,,,5558
2007-07,3014,4665.944713,Iowa,2007,July,07,3074186,0.591115827,1816,1.1,1652,8,1634,,5,5,0,0,0,,0,81,,,,,,,,,,,,,4742
2003-05,2986,4125.978855,Iowa,2003,May,05,3074186,0.573224912,1762,1.1,1602,8,1588,,3,3,11,0,0,,1,146,,,,,,,,,,,,,4743
2000-09,2966,3519.550839,Iowa,2000,September,09,3074186,1.687828908,5189,1.1,4717,44,4671,,1,1,10,,,,,,,,,,,,,,,,,,7692
2004-05,2933,4217.292022,Iowa,2004,May,05,3074186,0.617594381,1898,1.1,1726,18,1706,,1,1,20,0,4,,2,125,,,,,,,,,,,,,4809
2004-08,2921,4210.503973,Iowa,2004,August,08,3074186,1.039462154,3194,1.1,2905,18,2875,,6,6,13,0,1,,1,145,,,,,,,,,,,,,5980
2006-06,2912,4380.960262,Iowa,2006,June,06,3074186,0.640494752,1969,1.1,1790,13,1775,,1,1,0,0,0,,5,103,,8,0,,,,,,,,,,4817
2007-06,2909,4537.665873,Iowa,2007,June,06,3074186,0.593620555,1825,1.1,1659,10,1647,,1,1,0,0,0,,2,101,,,,,,,,,,,,,4670
1999-08,2866,4001.63482,Iowa,1999,August,08,3074186,1.058068705,3252,1.1,2957,49,2902,,3,3,21,,,,,,,,,,,,,,,,,,5841
2005-06,2849,4379.507053,Iowa,2005,June,06,3074186,0.614016198,1887,1.1,1716,16,1694,,3,3,0,0,0,,3,124,,,,,,,,,,,,,4689
2001-05,2768,3730.069396,Iowa,2001,May,05,3074186,0.539947811,1659,1.1,1509,35,1468,,3,3,10,,,,,,,,,,,,,,,,,,4284
2000-08,2749,3681.249045,Iowa,2000,August,08,3074186,1.035526152,3183,1.1,2894,40,2850,,2,2,19,,,,,,,,,,,,,,,,,,5660
1999-05,2744,4096.916686,Iowa,1999,May,05,3074186,0.594336192,1827,1.1,1661,63,1594,,2,2,9,,,,,,,,,,,,,,,,,,4412
2004-07,2742,4325.726371,Iowa,2004,July,07,3074186,0.644430753,1980,1.1,1801,26,1767,,4,4,8,0,2,,3,136,,,,,,,,,,,,,4688
2002-07,2735,4163.211345,Iowa,2002,July,07,3074186,0.527066352,1620,1.1,1473,43,1426,,2,2,13,0,1,,5,123,,,,,,,,,,,,,4348
1999-06,2730,4114.654429,Iowa,1999,June,06,3074186,0.606502014,1864,1.1,1695,53,1636,,3,3,11,,,,,,,,,,,,,,,,,,4433
2001-08,2723,3689.921799,Iowa,2001,August,08,3074186,0.929254118,2856,1.1,2597,24,2567,,3,3,16,,,,,,,,,,,,,,,,,,5333
2003-07,2719,4092.370523,Iowa,2003,July,07,3074186,0.561774727,1727,1.1,1570,25,1545,,0,0,7,0,1,,4,137,,,,,,,,,,,,,4438
2003-08,2710,4123.674674,Iowa,2003,August,08,3074186,0.936052666,2877,1.1,2616,20,2588,,4,4,66,0,1,,1,149,,,,,,,,,,,,,5539
2000-05,2628,3538.205731,Iowa,2000,May,05,3074186,0.553902724,1702,1.1,1548,29,1511,,4,4,7,,,,,,,,,,,,,,,,,,4179
2004-06,2621,4115.802258,Iowa,2004,June,06,3074186,0.644788572,1982,1.1,1802,19,1781,,1,1,9,0,2,,2,125,,,,,,,,,,,,,4560
2005-07,2621,4363.846373,Iowa,2005,July,07,3074186,0.622246019,1912,1.1,1739,18,1715,,3,3,0,0,0,,3,99,,,,,,,,,,,,,4459
2006-07,2585,4285.511987,Iowa,2006,July,07,3074186,0.625824202,1924,1.1,1749,16,1733,,0,0,0,0,1,,2,88,,0,0,,,,,,,,,,4425
2001-07,2391,3902.046919,Iowa,2001,July,07,3074186,0.566426365,1741,1.1,1583,29,1550,,2,2,17,,,,,,,,,,,,,,,,,,3989
2003-06,2363,3975.663108,Iowa,2003,June,06,3074186,0.538158719,1654,1.1,1504,15,1483,,3,3,11,0,0,,2,129,,,,,,,,,,,,,4006
2001-06,2344,3880.853001,Iowa,2001,June,06,3074186,0.58217037,1790,1.1,1627,22,1603,,1,1,17,,,,,,,,,,,,,,,,,,3987
2002-06,2329,4133.917568,Iowa,2002,June,06,3074186,0.471962334,1450,1.1,1319,22,1291,,3,3,6,0,0,,1,131,,,,,,,,,,,,,3783
2000-06,2322,3570.638945,Iowa,2000,June,06,3074186,0.597556556,1836,1.1,1670,29,1633,,4,4,15,,,,,,,,,,,,,,,,,,4003
1999-07,2227,3731.656964,Iowa,1999,July,07,3074186,0.683432948,2101,1.1,1910,52,1854,,2,2,17,,,,,,,,,,,,,,,,,,4152
2000-07,2145,3761.138914,Iowa,2000,July,07,3074186,0.61365838,1886,1.1,1715,25,1688,,1,1,16,,,,,,,,,,,,,,,,,,3875
1998-11,314,333.1793498,Iowa,1998,November,11,3074186,0.060113474,185,1.1,168,2,166,,0,0,0,,,,,,,,,,,,,,,,,,482
