year,Johnson,Linn,State
2013,9.29,24.66,27
2012,10.28,27.4,29.24
2011,10.91,29.06,30.91
2010,10.95,30.63,32.1
2009,10.69,31.83,32.36
2008,10.82,30.91,31.75
2007,9.98,30.13,30.97
