year,Johnson,Linn,State
2013,105.36,171.44,150.73
2012,109.43,181.73,156.28
2011,111.84,187.72,160.44
2010,119.03,192.21,166.16
2009,125.84,183.84,170.86
2008,134.6,180.15,178.62
2007,135.87,180.52,184.61
