year,Johnson,Linn,State
2013,168.38,176.47,200.49
2012,168.13,173.1,209.38
2011,170.93,180.78,219.25
2010,173.71,189.59,229.9
2009,173.38,189.88,239.33
2008,175.61,197.48,246.74
2007,183.54,202.79,252.81
