year,Johnson,Linn,State
2013,13.44,13.25,12.89
2012,13.57,13.47,13.04
2011,13.49,13.7,13.25
2010,13.48,13.96,13.36
2009,13.13,14.11,13.36
2008,13.1,14.11,13.22
2007,12.98,14.16,13.01
