year,Johnson,Linn,State
2013,95.62,131.71,111.79
2012,91.78,131.42,113.32
2011,90.92,129.76,113.17
2010,92.92,128.22,113.06
2009,89.9,122.9,111.45
2008,90.35,123.11,111.19
2007,94.34,121.96,109.53
